Nome,Tipo,Funil,Link
#suporte-cs-proprietários,Canvas,suporte-cs-proprietários,https://app.slack.com/docs/TDLTVAWQ6/F06BCUE60E6
#suporte-dados,Canvas,suporte-dados,https://app.slack.com/docs/TDLTVAWQ6/F07FKPT1SPL
#suporte-financeiro,Canvas,suporte-financeiro,https://app.slack.com/docs/TDLTVAWQ6/F05GPDD478E
#suporte-franquias,Canvas,suporte-franquias,https://app.slack.com/docs/TDLTVAWQ6/F06CUGCD4FR
#suporte-grandes-operações,Canvas,suporte-grandes-operações,https://app.slack.com/docs/TDLTVAWQ6/F078MBN8VU1
#suporte-implantação,Canvas,suporte-implantação,https://app.slack.com/docs/TDLTVAWQ6/F06B2C9JYJE
#suporte-indicações-szs,Canvas,suporte-indicações-szs,https://app.slack.com/docs/TDLTVAWQ6/F06NFFKL7NC
#suporte-obras,Canvas,suporte-obras,https://app.slack.com/docs/TDLTVAWQ6/F07EJFMGVT2
#suporte-ocorrências-franquias,Canvas,suporte-ocorrências-franquias,https://app.slack.com/docs/TDLTVAWQ6/F06RCTX2YBU
#suporte-people,Canvas,suporte-people,https://app.slack.com/docs/TDLTVAWQ6/F079HF2SB71
#suporte-plataforma,Canvas,suporte-plataforma,https://app.slack.com/docs/TDLTVAWQ6/F07M9H5T22U
#suporte-processo-churn,Canvas,suporte-processo-churn,https://app.slack.com/docs/TDLTVAWQ6/F0821GHK51B
#suporte-rm,Canvas,suporte-rm,https://app.slack.com/docs/TDLTVAWQ6/F06KA2AFD5W
#suprimentos,Canvas,suprimentos,https://app.slack.com/docs/TDLTVAWQ6/F05QEM42LP8
#szi-ocorrências-obras,Canvas,szi-ocorrências-obras,https://app.slack.com/docs/TDLTVAWQ6/F0897M8KUVC
#szni-multi-barra,Canvas,szni-multi-barra,https://app.slack.com/docs/TDLTVAWQ6/F05GJ30Q9BL
#szni-novos-projetos,Canvas,szni-novos-projetos,https://app.slack.com/docs/TDLTVAWQ6/F05U342BFHB
#szni-pool,Canvas,szni-pool,https://app.slack.com/docs/TDLTVAWQ6/F064HQGJMU6
#szni-projeto-fluxo-de-caixa-spe,Canvas,szni-projeto-fluxo-de-caixa-spe,https://app.slack.com/docs/TDLTVAWQ6/F07PEG5RYSD
#szni-timeclosers,Canvas,szni-timeclosers,https://app.slack.com/docs/TDLTVAWQ6/F05QZ0A9NDC
#task-41-cs-investidor,Canvas,task-41-cs-investidor,https://app.slack.com/docs/TDLTVAWQ6/F05JX20LA6T
#task-48-49_projeto-embaixador,Canvas,task-48-49_projeto-embaixador,https://app.slack.com/docs/TDLTVAWQ6/F05LUCH1YJF
#task-57-calculadora-onboarding,Canvas,task-57-calculadora-onboarding,https://app.slack.com/docs/TDLTVAWQ6/F05SF08JS07
#task-cadastro-leads-via-embaixador,Canvas,task-cadastro-leads-via-embaixador,https://app.slack.com/docs/TDLTVAWQ6/F05HN93CK9D
#team-platform,Canvas,team-platform,https://app.slack.com/docs/TDLTVAWQ6/F081Y0T34TY
#testes-piancó,Canvas,testes-piancó,https://app.slack.com/docs/TDLTVAWQ6/F05JTSPENJD
#unidades-disponíveis-spot,Canvas,unidades-disponíveis-spot,https://app.slack.com/docs/TDLTVAWQ6/F05QNLPAAD9
#validação-comunicados-franquias,Canvas,validação-comunicados-franquias,https://app.slack.com/docs/TDLTVAWQ6/F07JM523EL8
#validação-de-taxa-de-limpeza,Canvas,validação-de-taxa-de-limpeza,https://app.slack.com/docs/TDLTVAWQ6/F08BX3P6N7J
#validação-novo-fechamento,Canvas,validação-novo-fechamento,https://app.slack.com/docs/TDLTVAWQ6/F065ULBLF8R
#validações-solicitadas,Canvas,validações-solicitadas,https://app.slack.com/docs/TDLTVAWQ6/F06QEU9JN8L
#vendas-szni,Canvas,vendas-szni,https://app.slack.com/docs/TDLTVAWQ6/F05HNFS6FFG
